上证50
上证50选取的是沪市中规模大、流动性最好的50只股票，也就是我们常说的“漂亮50”。
这是一个极不均匀的指数，行业的集中度非常高。从上图可以明显看出，金融股占据了62%的比重。银行、保险、证券成为了指数的三大巨头。当然有利必有弊，上证50常被人诟病的地方也在这，它的走势很容易被金融板块绑架。但不得不说，上证50是一个波动比较小，资产质量比较好的指数。

序号	股票代码	股票简称	最新价(元)	相关资料	主营行业	地区	权重(%)	每股收益(元)	每股净资产(元)	净资产收益率(%)	总股本(亿股)	流通股本(亿股)	流通市值(亿元)
1	603993	洛阳钼业	4.12	股吧 行情 档案 资讯	有色金属	洛阳市	0.52	0.06	1.86	3.07	215.99	215.99	727.83
2	603259	药明康德	95.79	股吧 行情 档案 资讯		无锡市	1.23	1.08	10.51	10.11	16.51	11.77	963.72
3	601989	中国重工	5.04	股吧 行情 档案 资讯	交运设备	北京市	0.80	0.05	3.68	1.45	228.02	182.84	921.51
4	601988	中国银行	3.61	股吧 行情 档案 资讯	金融	北京市	1.30	0.52	5.53	9.17	2943.88	2943.88	7608.64
5	601939	建设银行	6.97	股吧 行情 档案 资讯	金融	北京市	0.80	0.90	8.29	10.96	2500.11	2500.11	668.68
6	601888	中国国旅	82.00	股吧 行情 档案 资讯	餐饮旅游	北京市	1.40	2.15	9.98	23.50	19.52	19.52	1601.03
7	601857	中国石油	5.64	股吧 行情 档案 资讯	能源	北京市	0.95	0.20	6.70	3.06	1830.21	1830.21	9132.41
8	601818	光大银行	4.02	股吧 行情 档案 资讯	金融	北京市	1.13	0.57	5.99	8.96	524.89	466.79	1600.39
9	601766	中国中车	6.76	股吧 行情 档案 资讯	交运设备	北京市	1.13	0.29	4.62	6.45	286.99	286.99	1644.56
10	601688	华泰证券	18.94	股吧 行情 档案 资讯	金融	南京市	1.46	0.75	13.21	5.77	90.77	90.77	1393.53
11	601668	中国建筑	5.47	股吧 行情 档案 资讯	建筑	北京市	2.01	0.68	5.81	11.79	419.76	411.41	2250.42
12	601628	中国人寿	32.26	股吧 行情 档案 资讯	金融	北京市	0.95	2.03	13.48	16.32	282.65	282.65	6717.67
13	601601	中国太保	35.96	股吧 行情 档案 资讯	金融	上海市	1.97	2.53	18.79	14.33	90.62	90.62	2260.70
14	601398	工商银行	5.72	股吧 行情 档案 资讯	金融	北京市	2.12	0.71	6.79	10.10	3564.06	3564.06	15421.82
15	601390	中国中铁	5.56	股吧 行情 档案 资讯	建筑	北京市	0.79	0.61	7.39	7.69	245.71	228.44	1036.21
16	601336	新华保险	47.99	股吧 行情 档案 资讯	金融	北京市	0.70	4.17	25.58	17.89	31.20	31.20	1000.80
17	601328	交通银行	5.47	股吧 行情 档案 资讯	金融	上海市	2.58	0.77	9.10	8.16	742.63	742.63	2147.02
18	601319	中国人保	7.26	股吧 行情 档案 资讯		北京市	0.14	0.48	4.05	12.88	442.24	143.28	406.67
19	601318	中国平安	83.49	股吧 行情 档案 资讯	金融	深圳市	15.65	7.29	35.08	21.64	182.80	182.80	9044.19
20	601288	农业银行	3.52	股吧 行情 档案 资讯	金融	北京市	2.32	0.51	4.91	10.07	3499.83	3247.94	10350.75
21	601236	红塔证券	18.06	股吧 行情 档案 资讯		昆明市	0.13	0.16	3.60	4.35	36.33	3.64	65.74
22	601211	国泰君安	17.57	股吧 行情 档案 资讯	金融	上海市	1.41	0.69	13.37	5.06	89.08	89.08	1320.58
23	601186	中国铁建	9.42	股吧 行情 档案 资讯	建筑	北京市	0.75	1.04	11.86	8.31	135.80	135.80	1083.61
24	601166	兴业银行	18.59	股吧 行情 档案 资讯	金融	福州市	4.71	2.57	22.85	11.02	207.74	190.52	3541.83
25	601138	工业富联	20.00	股吧 行情 档案 资讯		深圳市	0.63	0.52	4.06	13.32	198.55	18.39	367.76
26	601111	中国国航	8.25	股吧 行情 档案 资讯	交通运输	北京市	0.44	0.49	6.46	7.23	145.25	140.11	779.51
27	601088	中国神华	17.28	股吧 行情 档案 资讯	能源	北京市	0.99	1.86	17.44	10.99	198.90	198.90	2849.65
28	601066	中信建投	33.90	股吧 行情 档案 资讯		北京市	0.26	0.50	5.93	7.42	76.46	21.25	293.02
29	601012	隆基股份	29.05	股吧 行情 档案 资讯	电子设备	西安市	1.34	0.98	6.84	16.50	37.72	37.68	1094.47
30	600887	伊利股份	30.64	股吧 行情 档案 资讯	食品饮料	呼和浩特市	3.35	0.93	3.99	21.55	60.96	59.13	1811.63
31	600837	海通证券	14.55	股吧 行情 档案 资讯	金融	上海市	2.08	0.64	10.78	6.11	115.02	115.02	1177.41
32	600703	三安光电	22.56	股吧 行情 档案 资讯	电子设备	荆州市	0.97	0.28	5.30	5.38	40.78	40.78	920.09
33	600690	海尔智家	18.57	股吧 行情 档案 资讯	家电	青岛市	1.21	1.22	6.91	18.44	65.80	65.80	1171.50
34	600585	海螺水泥	48.00	股吧 行情 档案 资讯	建材	芜湖市	1.70	4.49	24.08	19.82	52.99	52.99	1919.86
35	600547	山东黄金	32.47	股吧 行情 档案 资讯	有色金属	济南市	0.58	0.31	7.17	4.32	31.00	26.96	713.20
36	600519	贵州茅台	1052.80	股吧 行情 档案 资讯	食品饮料	遵义市	9.16	24.24	99.71	25.58	12.56	12.56	13225.25
37	600340	华夏幸福	26.40	股吧 行情 档案 资讯	房地产	廊坊市	0.56	3.18	13.21	21.32	30.13	29.79	786.51
38	600309	万华化学	51.91	股吧 行情 档案 资讯	基础化工	烟台市	1.43	2.52	12.85	21.31	31.40	14.24	739.07
39	600276	恒瑞医药	87.99	股吧 行情 档案 资讯	医药生物	连云港市	4.74	0.84	5.23	17.42	44.23	44.11	3881.19
40	600196	复星医药	26.18	股吧 行情 档案 资讯	医药生物	上海市	0.46	0.81	11.95	7.04	25.63	25.63	526.47
41	600104	上汽集团	22.61	股吧 行情 档案 资讯	交运设备	上海市	1.38	1.78	20.94	8.68	116.83	116.83	2641.63
42	600050	中国联通	5.65	股吧 行情 档案 资讯	信息技术	北京市	0.93	0.14	4.60	3.05	310.34	211.97	1197.61
43	600048	保利地产	15.33	股吧 行情 档案 资讯	房地产	广州市	1.93	1.08	10.22	10.25	119.33	119.33	1829.28
44	600036	招商银行	36.81	股吧 行情 档案 资讯	金融	深圳市	6.61	3.05	22.30	13.59	252.20	252.20	7593.51
45	600031	三一重工	16.03	股吧 行情 档案 资讯	机械设备	北京市	1.69	1.12	5.03	24.82	84.26	84.21	1349.90
46	600030	中信证券	23.90	股吧 行情 档案 资讯	金融	深圳市	3.36	0.87	13.21	6.72	121.17	120.93	2345.70
47	600028	中国石化	4.94	股吧 行情 档案 资讯	能源	北京市	1.13	0.36	6.00	5.99	1210.71	1210.71	4720.55
48	600016	民生银行	6.08	股吧 行情 档案 资讯	金融	北京市	2.63	1.04	10.09	9.99	437.82	437.82	2156.10
49	600009	上海机场	68.98	股吧 行情 档案 资讯	交通运输	上海市	1.16	2.07	16.07	13.49	19.27	10.93	754.28
50	600000	浦发银行	11.35	股吧 行情 档案 资讯	金融	上海市	2.34	1.62	16.36	9.56	293.52	281.04	3189.78




沪深300指数：股市晴雨表
沪深300指数的300只样本股选自沪深两个证券市场，包含的成分股都是市值大、流动性好的主流股票，可以说沪深300能相对较好地反映市场上成熟公司的情况，是最能代表中国股市的指数，被称为A股市场走势的“晴雨表”。

1	603993	洛阳钼业	4.12	股吧 行情 档案 资讯	有色金属	洛阳市	0.22	0.06	1.86	3.07	215.99	215.99	727.83
2	603986	兆易创新	283.00	股吧 行情 档案 资讯	电子设备	北京市	0.40	1.53	15.43	13.12	3.21	2.83	801.08
3	603899	晨光文具	50.10	股吧 行情 档案 资讯	轻工制造	上海市	0.14	0.87	4.28	21.83	9.20	9.20	460.92
4	603833	欧派家居	113.00	股吧 行情 档案 资讯		广州市	0.11	3.28	20.87	16.61	4.20	0.95	106.88
5	603799	华友钴业	47.20	股吧 行情 档案 资讯	有色金属	嘉兴市	0.22	0.09	7.18	1.21	10.79	10.79	509.13
6	603501	韦尔股份	185.55	股吧 行情 档案 资讯		上海市	0.23	0.17	8.85	2.91	8.64	1.41	260.76
7	603288	海天味业	107.21	股吧 行情 档案 资讯	食品饮料	佛山市	0.64	1.42	5.58	26.50	27.00	27.00	2895.07
8	603260	合盛硅业	27.90	股吧 行情 档案 资讯		嘉兴市	0.03	0.92	8.80	10.64	9.38	3.65	101.88
9	603259	药明康德	95.79	股吧 行情 档案 资讯		无锡市	0.52	1.08	10.51	10.11	16.51	11.77	963.72
