'15:00:03', '7352500', '26.800', 'DOWN'
'14:57:00', '8700', '26.810', 'DOWN'
'14:56:57', '15300', '26.820', 'UP'
'14:56:54', '6600', '26.820', 'UP'
'14:56:51', '10000', '26.810', 'DOWN'
'14:56:48', '4200', '26.810', 'DOWN'
'14:56:45', '7100', '26.820', 'UP'
'14:56:42', '8800', '26.820', 'DOWN'
'14:56:39', '14700', '26.820', 'DOWN'
'14:56:36', '34500', '26.820', 'DOWN'
'14:56:33', '28800', '26.820', 'UP'
'14:56:30', '26400', '26.820', 'UP'
'14:56:27', '58800', '26.820', 'UP'
'14:56:24', '22900', '26.810', 'DOWN'
'14:56:21', '41300', '26.820', 'UP'
'14:56:18', '56700', '26.810', 'DOWN'
'14:56:15', '46800', '26.820', 'UP'
'14:56:12', '103100', '26.810', 'UP'
'14:56:09', '19900', '26.810', 'UP'
'14:56:06', '26500', '26.810', 'UP'
'14:56:03', '47860', '26.810', 'UP'
'14:56:00', '14500', '26.810', 'UP'
'14:55:57', '32400', '26.810', 'UP'
'14:55:54', '26000', '26.800', 'DOWN'
'14:55:51', '9700', '26.800', 'DOWN'
'14:55:48', '9600', '26.810', 'UP'
'14:55:45', '45800', '26.810', 'UP'
'14:55:42', '17900', '26.800', 'UP'
'14:55:39', '16600', '26.800', 'UP'
'14:55:36', '22400', '26.790', 'DOWN'
'14:55:33', '20300', '26.800', 'EQUAL'
'14:55:30', '4200', '26.780', 'DOWN'
'14:55:27', '10400', '26.780', 'DOWN'
'14:55:24', '55300', '26.780', 'DOWN'
'14:55:21', '11300', '26.780', 'UP'
'14:55:18', '305600', '26.770', 'DOWN'
'14:55:15', '18400', '26.770', 'DOWN'
'14:55:12', '11700', '26.780', 'UP'
'14:55:09', '10500', '26.780', 'UP'
'14:55:06', '5500', '26.780', 'UP'
'14:55:03', '18400', '26.770', 'DOWN'
'14:55:00', '9500', '26.780', 'UP'
'14:54:57', '12200', '26.760', 'DOWN'
'14:54:54', '59400', '26.770', 'DOWN'
'14:54:51', '2000', '26.770', 'DOWN'
'14:54:48', '2000', '26.780', 'UP'
'14:54:45', '1700', '26.780', 'UP'
'14:54:42', '4800', '26.770', 'DOWN'
'14:54:39', '6900', '26.780', 'UP'
'14:54:36', '21000', '26.780', 'UP'
'14:54:33', '19600', '26.770', 'DOWN'
'14:54:30', '10100', '26.780', 'UP'
'14:54:27', '10810', '26.780', 'UP'
'14:54:24', '3000', '26.780', 'UP'
'14:54:21', '5300', '26.780', 'UP'
'14:54:18', '8400', '26.770', 'DOWN'
'14:54:15', '22100', '26.780', 'UP'
'14:54:12', '1400', '26.780', 'UP'
'14:54:09', '71500', '26.760', 'DOWN'
'14:54:06', '800', '26.780', 'UP'
'14:54:03', '1600', '26.780', 'UP'
'14:54:00', '16900', '26.780', 'UP'
'14:53:57', '7100', '26.780', 'UP'
'14:53:54', '21300', '26.780', 'UP'
'14:53:51', '2800', '26.770', 'DOWN'
'14:53:48', '5200', '26.770', 'DOWN'
'14:53:45', '8100', '26.770', 'DOWN'
'14:53:42', '13400', '26.770', 'UP'
'14:53:39', '8200', '26.760', 'DOWN'
'14:53:36', '51200', '26.760', 'DOWN'
'14:53:33', '6700', '26.760', 'DOWN'
'14:53:30', '14400', '26.770', 'UP'
'14:53:27', '11200', '26.770', 'UP'
'14:53:24', '14100', '26.770', 'UP'
'14:53:21', '1700', '26.760', 'DOWN'
'14:53:18', '15300', '26.760', 'DOWN'
'14:53:15', '6100', '26.760', 'DOWN'
'14:53:12', '19300', '26.770', 'UP'
'14:53:09', '17200', '26.760', 'DOWN'
'14:53:06', '3100', '26.760', 'DOWN'
'14:53:03', '9400', '26.770', 'UP'
'14:53:00', '9900', '26.770', 'UP'
'14:52:57', '2000', '26.760', 'DOWN'
'14:52:54', '2100', '26.760', 'DOWN'
'14:52:51', '4300', '26.770', 'UP'
