'15:00:00', '10178200', '34.510', 'DOWN'
'14:57:00', '6600', '34.600', 'UP'
'14:56:58', '22900', '34.590', 'DOWN'
'14:56:55', '42200', '34.600', 'DOWN'
'14:56:52', '15200', '34.620', 'UP'
'14:56:49', '21300', '34.600', 'DOWN'
'14:56:46', '11000', '34.620', 'UP'
'14:56:43', '35700', '34.610', 'DOWN'
'14:56:40', '15200', '34.620', 'UP'
'14:56:37', '72300', '34.620', 'EQUAL'
'14:56:34', '17900', '34.630', 'UP'
'14:56:31', '10200', '34.620', 'UP'
'14:56:28', '51800', '34.600', 'DOWN'
'14:56:25', '17300', '34.620', 'UP'
'14:56:22', '29300', '34.620', 'EQUAL'
'14:56:19', '20000', '34.640', 'UP'
'14:56:16', '32900', '34.640', 'UP'
'14:56:13', '22500', '34.630', 'UP'
'14:56:10', '41800', '34.620', 'DOWN'
'14:56:07', '8500', '34.620', 'DOWN'
'14:56:04', '43400', '34.630', 'UP'
'14:56:01', '8400', '34.630', 'DOWN'
'14:55:58', '47100', '34.650', 'UP'
'14:55:55', '15700', '34.620', 'DOWN'
'14:55:52', '19100', '34.620', 'DOWN'
'14:55:49', '262700', '34.660', 'UP'
'14:55:46', '37600', '34.600', 'DOWN'
'14:55:43', '61600', '34.600', 'UP'
'14:55:40', '15800', '34.600', 'UP'
'14:55:37', '43600', '34.600', 'UP'
'14:55:34', '800', '34.600', 'UP'
'14:55:31', '18017', '34.600', 'UP'
'14:55:28', '189500', '34.600', 'UP'
'14:55:25', '3900', '34.580', 'UP'
'14:55:22', '42800', '34.570', 'EQUAL'
'14:55:19', '47200', '34.560', 'DOWN'
'14:55:16', '74700', '34.560', 'DOWN'
'14:55:13', '32500', '34.570', 'DOWN'
'14:55:10', '42400', '34.570', 'UP'
'14:55:07', '24800', '34.550', 'DOWN'
'14:55:04', '40181', '34.550', 'UP'
'14:55:01', '8400', '34.550', 'UP'
'14:54:58', '6600', '34.550', 'UP'
'14:54:55', '32900', '34.550', 'UP'
'14:54:52', '37600', '34.550', 'UP'
'14:54:49', '70000', '34.550', 'UP'
'14:54:46', '24800', '34.550', 'DOWN'
'14:54:43', '36300', '34.550', 'DOWN'
'14:54:40', '13500', '34.550', 'DOWN'
'14:54:37', '64800', '34.570', 'UP'
'14:54:34', '7700', '34.550', 'DOWN'
'14:54:31', '39903', '34.550', 'UP'
'14:54:28', '12100', '34.540', 'DOWN'
'14:54:25', '14800', '34.550', 'UP'
'14:54:22', '37800', '34.540', 'DOWN'
'14:54:19', '15300', '34.550', 'UP'
'14:54:16', '7000', '34.550', 'UP'
'14:54:13', '56800', '34.530', 'DOWN'
'14:54:10', '110200', '34.550', 'UP'
'14:54:07', '109997', '34.550', 'DOWN'
'14:54:04', '30300', '34.560', 'UP'
'14:54:01', '55803', '34.550', 'DOWN'
'14:53:58', '198300', '34.560', 'UP'
'14:53:55', '20200', '34.560', 'UP'
'14:53:52', '15100', '34.560', 'UP'
'14:53:49', '10700', '34.560', 'UP'
'14:53:46', '1900', '34.560', 'UP'
'14:53:43', '77800', '34.560', 'UP'
'14:53:40', '74100', '34.560', 'UP'
'14:53:37', '12200', '34.540', 'DOWN'
'14:53:34', '11000', '34.550', 'UP'
'14:53:31', '14300', '34.540', 'DOWN'
'14:53:28', '13500', '34.550', 'UP'
'14:53:25', '11300', '34.550', 'UP'
'14:53:22', '9300', '34.550', 'UP'
'14:53:19', '11300', '34.550', 'UP'
'14:53:16', '18800', '34.550', 'UP'
'14:53:13', '22100', '34.550', 'UP'
'14:53:10', '4700', '34.550', 'UP'
'14:53:07', '59700', '34.550', 'DOWN'
'14:53:04', '56000', '34.560', 'UP'
'14:53:01', '11400', '34.560', 'UP'
'14:52:58', '4200', '34.560', 'UP'
'14:52:55', '21900', '34.560', 'UP'
'14:52:52', '40100', '34.550', 'DOWN'
'14:52:49', '268619', '34.560', 'DOWN'
'14:52:46', '700', '34.590', 'DOWN'
'14:52:43', '33200', '34.600', 'UP'
'14:52:40', '9281', '34.600', 'UP'
'14:52:37', '10000', '34.590', 'UP'
'14:52:34', '14000', '34.590', 'UP'
'14:52:31', '33400', '34.590', 'UP'
'14:52:28', '6900', '34.590', 'UP'
'14:52:25', '200', '34.590', 'UP'
'14:52:22', '10000', '34.580', 'DOWN'
'14:52:19', '4100', '34.590', 'UP'
'14:52:16', '100', '34.580', 'DOWN'
'14:52:13', '10800', '34.590', 'UP'
'14:52:10', '43300', '34.590', 'UP'
'14:52:07', '12200', '34.590', 'UP'
'14:52:04', '2800', '34.590', 'UP'
'14:52:01', '21500', '34.590', 'UP'
'14:51:58', '1400', '34.590', 'UP'
'14:51:55', '3600', '34.590', 'UP'
'14:51:52', '11900', '34.580', 'DOWN'
'14:51:49', '22500', '34.590', 'UP'
'14:51:46', '2300', '34.590', 'UP'
'14:51:43', '26900', '34.590', 'UP'
'14:51:40', '6100', '34.580', 'DOWN'
'14:51:37', '7200', '34.590', 'UP'
'14:51:34', '15500', '34.580', 'DOWN'
'14:51:31', '37100', '34.590', 'UP'
'14:51:28', '25200', '34.590', 'UP'
'14:51:25', '9900', '34.590', 'UP'
'14:51:22', '11700', '34.580', 'UP'
'14:51:19', '18900', '34.580', 'UP'
'14:51:16', '32900', '34.580', 'UP'
'14:51:13', '17900', '34.580', 'UP'
'14:51:10', '500', '34.580', 'UP'
'14:51:07', '8000', '34.580', 'UP'
'14:51:04', '6600', '34.580', 'UP'
'14:51:01', '36200', '34.580', 'UP'
'14:50:58', '20700', '34.570', 'UP'
'14:50:55', '2400', '34.570', 'UP'
'14:50:52', '8500', '34.560', 'DOWN'
'14:50:49', '18600', '34.560', 'DOWN'
'14:50:46', '9100', '34.570', 'UP'
'14:50:43', '16700', '34.570', 'UP'
'14:50:40', '25200', '34.570', 'UP'
'14:50:37', '13700', '34.560', 'DOWN'
'14:50:34', '12200', '34.570', 'UP'
'14:50:31', '31700', '34.560', 'DOWN'
'14:50:28', '17000', '34.570', 'UP'
'14:50:25', '1000', '34.570', 'UP'
'14:50:22', '15900', '34.570', 'UP'
'14:50:19', '28000', '34.560', 'UP'
'14:50:16', '1500', '34.560', 'UP'
'14:50:13', '17200', '34.560', 'UP'
'14:50:10', '18900', '34.560', 'UP'
'14:50:07', '700', '34.560', 'UP'
'14:50:04', '9800', '34.560', 'UP'
'14:50:01', '5800', '34.550', 'DOWN'
'14:49:58', '14900', '34.560', 'UP'
'14:49:55', '4200', '34.550', 'DOWN'
'14:49:52', '33100', '34.550', 'UP'
'14:49:49', '2500', '34.550', 'UP'
'14:49:46', '22600', '34.560', 'UP'
'14:49:43', '13900', '34.550', 'UP'
'14:49:40', '7000', '34.550', 'UP'
'14:49:37', '3700', '34.540', 'DOWN'
'14:49:34', '22900', '34.540', 'DOWN'
'14:49:31', '6200', '34.540', 'DOWN'
'14:49:28', '1100', '34.550', 'UP'
'14:49:25', '14000', '34.550', 'UP'
'14:49:22', '7000', '34.540', 'DOWN'
'14:49:19', '20800', '34.540', 'DOWN'
'14:49:16', '4700', '34.550', 'UP'
'14:49:13', '11100', '34.540', 'DOWN'
'14:49:10', '1900', '34.550', 'UP'
'14:49:07', '12300', '34.550', 'UP'
'14:49:04', '9900', '34.550', 'UP'
'14:49:01', '66900', '34.550', 'UP'
'14:48:58', '21300', '34.530', 'DOWN'
'14:48:55', '1700', '34.540', 'UP'
'14:48:52', '26900', '34.540', 'UP'
'14:48:49', '6100', '34.540', 'UP'
'14:48:46', '1100', '34.540', 'UP'
'14:48:43', '17500', '34.540', 'UP'
'14:48:40', '1500', '34.530', 'DOWN'
'14:48:37', '2000', '34.530', 'DOWN'
'14:48:34', '200', '34.530', 'DOWN'
'14:48:31', '45500', '34.530', 'DOWN'
'14:48:28', '24100', '34.530', 'UP'
'14:48:25', '100', '34.530', 'UP'
'14:48:22', '6600', '34.520', 'DOWN'
'14:48:19', '5600', '34.530', 'UP'
'14:48:16', '19700', '34.530', 'UP'
'14:48:13', '7100', '34.530', 'UP'
'14:48:10', '20400', '34.530', 'UP'
'14:48:07', '1100', '34.530', 'UP'
'14:48:04', '15700', '34.520', 'DOWN'
'14:48:01', '4900', '34.530', 'UP'
'14:47:58', '6000', '34.530', 'UP'
'14:47:55', '2700', '34.530', 'UP'
'14:47:52', '24600', '34.520', 'DOWN'
'14:47:49', '200', '34.530', 'UP'
'14:47:46', '31400', '34.530', 'UP'
'14:47:43', '12500', '34.520', 'DOWN'
'14:47:40', '1400', '34.530', 'UP'
'14:47:37', '400', '34.530', 'UP'
'14:47:34', '2400', '34.530', 'DOWN'
'14:47:31', '23800', '34.530', 'UP'
'14:47:28', '1100', '34.530', 'UP'
'14:47:25', '1000', '34.530', 'UP'
'14:47:22', '61500', '34.530', 'DOWN'
'14:47:19', '3300', '34.540', 'UP'
'14:47:16', '31200', '34.530', 'DOWN'
'14:47:13', '5000', '34.530', 'UP'
'14:47:10', '6400', '34.530', 'UP'
'14:47:07', '2100', '34.530', 'UP'
'14:47:04', '4400', '34.530', 'EQUAL'
'14:47:01', '30500', '34.520', 'DOWN'
'14:46:58', '30700', '34.530', 'DOWN'
'14:46:55', '2700', '34.540', 'UP'
'14:46:52', '4600', '34.530', 'DOWN'
'14:46:49', '400', '34.540', 'UP'
'14:46:46', '1300', '34.540', 'UP'
'14:46:43', '18600', '34.540', 'UP'
'14:46:40', '4800', '34.540', 'UP'
'14:46:37', '20700', '34.540', 'UP'
'14:46:34', '10800', '34.540', 'UP'
'14:46:31', '16600', '34.540', 'UP'
'14:46:28', '1300', '34.540', 'UP'
'14:46:25', '3900', '34.540', 'UP'
'14:46:22', '11900', '34.530', 'DOWN'
'14:46:19', '41700', '34.540', 'DOWN'
'14:46:16', '3100', '34.550', 'UP'
'14:46:13', '21800', '34.550', 'UP'
'14:46:10', '12400', '34.540', 'DOWN'
'14:46:07', '600', '34.550', 'UP'
'14:46:04', '30900', '34.550', 'UP'
'14:46:01', '5900', '34.550', 'UP'
'14:45:58', '1500', '34.540', 'DOWN'
'14:45:55', '8800', '34.550', 'UP'
'14:45:52', '5600', '34.550', 'UP'
'14:45:49', '400', '34.550', 'UP'
'14:45:46', '9900', '34.550', 'UP'
'14:45:43', '13200', '34.540', 'UP'
'14:45:40', '3400', '34.540', 'UP'
'14:45:37', '39900', '34.530', 'DOWN'
'14:45:34', '1800', '34.540', 'DOWN'
'14:45:31', '7800', '34.550', 'UP'
'14:45:28', '51600', '34.540', 'DOWN'
'14:45:25', '8700', '34.540', 'DOWN'
'14:45:22', '5900', '34.540', 'DOWN'
'14:45:19', '2200', '34.550', 'UP'
'14:45:16', '1700', '34.550', 'UP'
'14:45:13', '8600', '34.540', 'DOWN'
'14:45:10', '31300', '34.550', 'UP'
'14:45:07', '2800', '34.550', 'UP'
'14:45:04', '24300', '34.540', 'DOWN'
'14:45:01', '6300', '34.550', 'UP'
'14:44:58', '4100', '34.540', 'DOWN'
'14:44:55', '5800', '34.540', 'EQUAL'
'14:44:52', '58400', '34.550', 'UP'
'14:44:49', '800', '34.550', 'UP'
'14:44:46', '1900', '34.540', 'DOWN'
'14:44:43', '14700', '34.550', 'UP'
'14:44:40', '8200', '34.540', 'DOWN'
'14:44:37', '12400', '34.540', 'UP'
'14:44:34', '77500', '34.540', 'DOWN'
'14:44:31', '7600', '34.550', 'UP'
'14:44:28', '2700', '34.550', 'UP'
'14:44:25', '6900', '34.550', 'UP'
'14:44:22', '9800', '34.540', 'DOWN'
'14:44:19', '14500', '34.550', 'UP'
'14:44:16', '1100', '34.550', 'UP'
'14:44:13', '13300', '34.550', 'UP'
'14:44:10', '4800', '34.550', 'UP'
'14:44:07', '4600', '34.550', 'UP'
'14:44:04', '7400', '34.550', 'UP'
'14:44:01', '91900', '34.540', 'DOWN'
'14:43:58', '1100', '34.550', 'UP'
'14:43:55', '2900', '34.550', 'UP'
'14:43:52', '15200', '34.550', 'UP'
'14:43:49', '8000', '34.550', 'UP'
'14:43:46', '1600', '34.540', 'DOWN'
'14:43:43', '14300', '34.540', 'DOWN'
'14:43:40', '20100', '34.540', 'DOWN'
'14:43:37', '6700', '34.540', 'DOWN'
'14:43:34', '3200', '34.540', 'DOWN'
'14:43:31', '20900', '34.540', 'UP'
'14:43:28', '8600', '34.540', 'UP'
'14:43:25', '6600', '34.540', 'UP'
'14:43:22', '7900', '34.540', 'UP'
'14:43:19', '22700', '34.540', 'UP'
'14:43:16', '7500', '34.530', 'DOWN'
'14:43:13', '23800', '34.530', 'DOWN'
'14:43:10', '3500', '34.530', 'DOWN'
'14:43:07', '14500', '34.530', 'DOWN'
'14:43:04', '6200', '34.540', 'UP'
'14:43:01', '25000', '34.540', 'UP'
'14:42:58', '4200', '34.540', 'UP'
'14:42:55', '6100', '34.540', 'UP'
'14:42:52', '11000', '34.540', 'UP'
'14:42:49', '3000', '34.540', 'UP'
'14:42:46', '7300', '34.530', 'DOWN'
'14:42:43', '4800', '34.530', 'DOWN'
'14:42:40', '19300', '34.530', 'UP'
'14:42:37', '5300', '34.530', 'UP'
'14:42:34', '6700', '34.530', 'UP'
'14:42:31', '11100', '34.530', 'UP'
'14:42:28', '4300', '34.530', 'UP'
'14:42:25', '1300', '34.530', 'UP'
'14:42:22', '18200', '34.530', 'UP'
'14:42:19', '9700', '34.530', 'UP'
'14:42:16', '3000', '34.520', 'DOWN'
'14:42:13', '12400', '34.520', 'UP'
'14:42:10', '34100', '34.520', 'UP'
'14:42:07', '1000', '34.520', 'UP'
'14:42:04', '43500', '34.510', 'DOWN'
'14:42:01', '6700', '34.520', 'UP'
'14:41:58', '23400', '34.520', 'UP'
'14:41:55', '27700', '34.520', 'UP'
'14:41:52', '8000', '34.520', 'UP'
'14:41:49', '40600', '34.520', 'DOWN'
'14:41:46', '14100', '34.520', 'DOWN'
'14:41:43', '9700', '34.530', 'UP'
'14:41:40', '1300', '34.520', 'DOWN'
'14:41:37', '47700', '34.530', 'UP'
'14:41:34', '4400', '34.530', 'UP'
'14:41:31', '10500', '34.520', 'DOWN'
'14:41:28', '1300', '34.530', 'UP'
'14:41:25', '2000', '34.510', 'UP'
'14:41:22', '49200', '34.510', 'DOWN'
'14:41:19', '12400', '34.530', 'UP'
'14:41:16', '13900', '34.530', 'DOWN'
'14:41:13', '54100', '34.540', 'UP'
'14:41:10', '2000', '34.540', 'UP'
'14:41:07', '47300', '34.540', 'UP'
'14:41:04', '3400', '34.540', 'UP'
'14:41:01', '16600', '34.520', 'DOWN'
'14:40:58', '8200', '34.500', 'DOWN'
'14:40:55', '1300', '34.500', 'DOWN'
'14:40:52', '4700', '34.530', 'UP'
'14:40:49', '29700', '34.530', 'UP'
'14:40:46', '7100', '34.530', 'UP'
'14:40:43', '3200', '34.500', 'DOWN'
'14:40:40', '106600', '34.500', 'UP'
'14:40:37', '7800', '34.500', 'UP'
'14:40:34', '15600', '34.500', 'UP'
'14:40:31', '10000', '34.500', 'UP'
'14:40:28', '23200', '34.500', 'UP'
'14:40:25', '65000', '34.500', 'DOWN'
'14:40:22', '250700', '34.500', 'DOWN'
'14:40:19', '18500', '34.550', 'UP'
'14:40:16', '114000', '34.550', 'UP'
'14:40:13', '157294', '34.530', 'DOWN'
'14:40:10', '10800', '34.550', 'UP'
'14:40:07', '8700', '34.540', 'DOWN'
'14:40:04', '9600', '34.550', 'UP'
'14:40:01', '11100', '34.550', 'UP'
'14:39:58', '5400', '34.550', 'UP'
'14:39:55', '33500', '34.550', 'UP'
'14:39:52', '6000', '34.530', 'DOWN'
'14:39:49', '3000', '34.540', 'UP'
'14:39:46', '7500', '34.540', 'UP'
'14:39:43', '14500', '34.540', 'UP'
'14:39:40', '10800', '34.540', 'UP'
'14:39:37', '38100', '34.540', 'UP'
'14:39:34', '5200', '34.540', 'UP'
'14:39:31', '10100', '34.540', 'UP'
'14:39:28', '1600', '34.540', 'UP'
'14:39:25', '13900', '34.540', 'UP'
'14:39:22', '10000', '34.540', 'UP'
'14:39:19', '25500', '34.540', 'UP'
'14:39:16', '3700', '34.540', 'UP'
'14:39:13', '8600', '34.540', 'UP'
'14:39:10', '7400', '34.540', 'UP'
'14:39:07', '1300', '34.540', 'UP'
'14:39:04', '12200', '34.530', 'DOWN'
'14:39:01', '19500', '34.540', 'UP'
'14:38:58', '8200', '34.530', 'UP'
'14:38:55', '4900', '34.530', 'UP'
'14:38:52', '22700', '34.520', 'DOWN'
'14:38:49', '21500', '34.530', 'UP'
'14:38:46', '500', '34.530', 'UP'
'14:38:43', '4900', '34.530', 'UP'
'14:38:40', '25100', '34.520', 'DOWN'
'14:38:37', '800', '34.530', 'UP'
'14:38:34', '7900', '34.530', 'UP'
'14:38:31', '9000', '34.520', 'DOWN'
'14:38:28', '23500', '34.520', 'UP'
'14:38:25', '8200', '34.520', 'UP'
'14:38:22', '8500', '34.520', 'UP'
'14:38:19', '12400', '34.520', 'UP'
'14:38:16', '3500', '34.520', 'UP'
'14:38:13', '11000', '34.520', 'UP'
'14:38:10', '800', '34.520', 'UP'
'14:38:07', '4800', '34.520', 'UP'
'14:38:04', '2000', '34.520', 'UP'
'14:38:01', '6200', '34.510', 'DOWN'
'14:37:58', '4900', '34.520', 'UP'
'14:37:55', '1800', '34.520', 'UP'
'14:37:52', '5400', '34.510', 'DOWN'
'14:37:49', '4800', '34.520', 'UP'
'14:37:46', '7700', '34.520', 'UP'
'14:37:43', '4900', '34.510', 'DOWN'
'14:37:40', '1500', '34.520', 'UP'
'14:37:37', '38900', '34.510', 'DOWN'
'14:37:34', '1100', '34.520', 'UP'
'14:37:31', '11400', '34.520', 'UP'
'14:37:28', '26400', '34.510', 'DOWN'
'14:37:25', '46900', '34.520', 'UP'
'14:37:22', '6500', '34.510', 'UP'
'14:37:19', '9900', '34.510', 'UP'
'14:37:16', '43000', '34.510', 'UP'
'14:37:13', '49600', '34.510', 'UP'
'14:37:10', '4600', '34.510', 'UP'
'14:37:07', '5900', '34.500', 'DOWN'
'14:37:04', '46100', '34.500', 'UP'
'14:37:01', '4900', '34.500', 'UP'
'14:36:58', '68400', '34.500', 'UP'
'14:36:55', '20800', '34.500', 'UP'
'14:36:52', '7100', '34.490', 'DOWN'
'14:36:49', '5200', '34.500', 'UP'
'14:36:46', '26100', '34.500', 'UP'
'14:36:43', '14300', '34.500', 'UP'
'14:36:40', '2800', '34.500', 'UP'
'14:36:37', '3300', '34.500', 'UP'
'14:36:34', '13300', '34.500', 'UP'
'14:36:31', '12500', '34.500', 'UP'
'14:36:28', '138800', '34.500', 'DOWN'
'14:36:25', '4500', '34.520', 'DOWN'
'14:36:22', '11000', '34.530', 'UP'
'14:36:18', '5500', '34.530', 'EQUAL'
'14:36:16', '12900', '34.540', 'UP'
'14:36:13', '13300', '34.540', 'UP'
'14:36:10', '46700', '34.530', 'DOWN'
'14:36:07', '3100', '34.540', 'UP'
'14:36:04', '2500', '34.530', 'DOWN'
'14:36:01', '25900', '34.530', 'DOWN'
'14:35:58', '7400', '34.530', 'DOWN'
'14:35:55', '52900', '34.540', 'UP'
'14:35:52', '7600', '34.520', 'DOWN'
'14:35:49', '12200', '34.520', 'DOWN'
'14:35:46', '9600', '34.530', 'UP'
'14:35:43', '4900', '34.530', 'UP'
'14:35:40', '4500', '34.530', 'UP'
'14:35:37', '3800', '34.530', 'UP'
'14:35:34', '7000', '34.520', 'DOWN'
'14:35:31', '13000', '34.540', 'UP'
'14:35:28', '4955', '34.530', 'DOWN'
'14:35:25', '4400', '34.520', 'DOWN'
'14:35:22', '26600', '34.530', 'DOWN'
'14:35:19', '21700', '34.530', 'DOWN'
'14:35:16', '15900', '34.540', 'UP'
'14:35:13', '13400', '34.540', 'UP'
'14:35:10', '47200', '34.530', 'DOWN'
'14:35:07', '7800', '34.540', 'UP'
'14:35:03', '14300', '34.540', 'UP'
'14:35:01', '15500', '34.540', 'UP'
'14:34:58', '1900', '34.540', 'UP'
'14:34:55', '8000', '34.540', 'UP'
'14:34:52', '24500', '34.540', 'UP'
'14:34:49', '300', '34.540', 'UP'
'14:34:46', '4400', '34.540', 'UP'
'14:34:43', '5900', '34.540', 'UP'
'14:34:40', '54500', '34.540', 'UP'
'14:34:37', '10900', '34.520', 'DOWN'
'14:34:34', '16200', '34.530', 'UP'
'14:34:31', '83800', '34.530', 'UP'
'14:34:28', '21700', '34.520', 'DOWN'
'14:34:25', '7400', '34.530', 'UP'
'14:34:22', '20600', '34.530', 'UP'
'14:34:19', '2100', '34.520', 'UP'
'14:34:16', '16800', '34.520', 'UP'
'14:34:13', '11400', '34.520', 'UP'
'14:34:10', '1400', '34.520', 'UP'
'14:34:07', '13400', '34.520', 'UP'
'14:34:04', '17700', '34.510', 'DOWN'
'14:34:01', '6400', '34.520', 'UP'
'14:33:58', '8200', '34.520', 'UP'
'14:33:55', '4200', '34.520', 'UP'
'14:33:52', '5000', '34.520', 'UP'
'14:33:49', '6900', '34.520', 'UP'
'14:33:46', '40400', '34.510', 'UP'
'14:33:43', '26300', '34.510', 'DOWN'
'14:33:40', '18800', '34.520', 'UP'
'14:33:37', '23800', '34.510', 'UP'
'14:33:34', '10300', '34.510', 'EQUAL'
'14:33:31', '61300', '34.500', 'DOWN'
'14:33:28', '22500', '34.520', 'UP'
'14:33:25', '93800', '34.510', 'UP'
'14:33:22', '4300', '34.500', 'UP'
'14:33:19', '16800', '34.500', 'UP'
'14:33:16', '10800', '34.500', 'UP'
'14:33:13', '7300', '34.490', 'DOWN'
'14:33:10', '6800', '34.500', 'UP'
'14:33:07', '3000', '34.500', 'UP'
'14:33:04', '2300', '34.500', 'UP'
'14:33:01', '12500', '34.500', 'UP'
'14:32:58', '38700', '34.500', 'UP'
'14:32:55', '4600', '34.500', 'UP'
'14:32:52', '200', '34.500', 'UP'
'14:32:49', '8600', '34.500', 'UP'
'14:32:46', '22400', '34.500', 'UP'
'14:32:43', '2800', '34.500', 'UP'
'14:32:40', '9300', '34.500', 'UP'
'14:32:37', '9700', '34.500', 'UP'
'14:32:34', '22100', '34.490', 'DOWN'
'14:32:31', '1200', '34.520', 'UP'
'14:32:28', '11500', '34.500', 'DOWN'
'14:32:25', '81000', '34.500', 'DOWN'
'14:32:22', '8800', '34.520', 'UP'
'14:32:19', '84316', '34.520', 'UP'
'14:32:16', '67300', '34.500', 'DOWN'
'14:32:13', '4900', '34.510', 'UP'
'14:32:10', '1000', '34.510', 'UP'
'14:32:07', '6700', '34.510', 'UP'
'14:32:04', '6800', '34.510', 'UP'
'14:32:01', '36000', '34.510', 'UP'
'14:31:58', '6400', '34.500', 'DOWN'
'14:31:55', '24300', '34.510', 'UP'
'14:31:52', '300', '34.510', 'UP'
'14:31:49', '6200', '34.510', 'EQUAL'
'14:31:46', '21300', '34.500', 'DOWN'
'14:31:43', '42700', '34.520', 'UP'
'14:31:40', '15000', '34.520', 'UP'
'14:31:37', '8000', '34.510', 'DOWN'
'14:31:34', '3100', '34.510', 'DOWN'
'14:31:31', '2000', '34.520', 'UP'
'14:31:28', '5700', '34.510', 'DOWN'
'14:31:25', '5300', '34.520', 'UP'
'14:31:22', '500', '34.520', 'UP'
'14:31:19', '3200', '34.520', 'UP'
'14:31:16', '13200', '34.520', 'UP'
'14:31:13', '3300', '34.520', 'UP'
'14:31:10', '2100', '34.520', 'UP'
'14:31:07', '3500', '34.520', 'UP'
'14:31:04', '3300', '34.520', 'UP'
'14:31:01', '1500', '34.520', 'UP'
'14:30:58', '12500', '34.520', 'UP'
'14:30:55', '15600', '34.520', 'DOWN'
'14:30:52', '6200', '34.530', 'UP'
'14:30:49', '1300', '34.520', 'DOWN'
'14:30:46', '11100', '34.530', 'UP'
'14:30:43', '15800', '34.530', 'UP'
'14:30:40', '125600', '34.530', 'UP'
'14:30:37', '800', '34.530', 'UP'
'14:30:34', '2300', '34.530', 'UP'
'14:30:31', '1800', '34.520', 'DOWN'
'14:30:28', '4900', '34.520', 'DOWN'
'14:30:25', '10500', '34.530', 'UP'
'14:30:22', '7800', '34.520', 'UP'
'14:30:19', '20200', '34.520', 'UP'
'14:30:15', '5300', '34.520', 'UP'
'14:30:13', '9700', '34.520', 'UP'
'14:30:10', '11200', '34.520', 'UP'
'14:30:07', '5300', '34.510', 'DOWN'
'14:30:04', '11300', '34.520', 'UP'
'14:30:01', '200', '34.510', 'DOWN'
'14:29:58', '2900', '34.520', 'UP'
'14:29:55', '2400', '34.520', 'UP'
'14:29:52', '5900', '34.520', 'UP'
'14:29:49', '12800', '34.520', 'UP'
'14:29:46', '10500', '34.520', 'UP'
'14:29:43', '3800', '34.520', 'UP'
'14:29:40', '6800', '34.520', 'UP'
'14:29:37', '7000', '34.520', 'DOWN'
'14:29:34', '11900', '34.530', 'UP'
'14:29:31', '10100', '34.520', 'UP'
'14:29:27', '6300', '34.520', 'UP'
'14:29:25', '6000', '34.520', 'UP'
'14:29:22', '11300', '34.520', 'UP'
'14:29:19', '6100', '34.520', 'UP'
'14:29:16', '1600', '34.510', 'DOWN'
'14:29:13', '10000', '34.520', 'UP'
'14:29:10', '2900', '34.520', 'UP'
'14:29:07', '3000', '34.520', 'UP'
'14:29:04', '9400', '34.500', 'DOWN'
'14:29:01', '4400', '34.520', 'UP'
'14:28:58', '4300', '34.520', 'UP'
'14:28:55', '1400', '34.520', 'UP'
'14:28:52', '3100', '34.520', 'UP'
'14:28:49', '4200', '34.520', 'UP'
'14:28:45', '1800', '34.520', 'DOWN'
'14:28:43', '500', '34.520', 'DOWN'
'14:28:40', '7700', '34.530', 'UP'
'14:28:37', '14000', '34.520', 'UP'
'14:28:34', '7100', '34.500', 'DOWN'
'14:28:31', '27100', '34.520', 'UP'
'14:28:28', '205500', '34.510', 'DOWN'
'14:28:25', '9600', '34.520', 'UP'
'14:28:22', '66600', '34.550', 'UP'
'14:28:19', '203900', '34.500', 'DOWN'
'14:28:16', '6600', '34.530', 'UP'
'14:28:13', '13600', '34.520', 'DOWN'
'14:28:10', '128100', '34.550', 'UP'
'14:28:07', '13000', '34.540', 'EQUAL'
'14:28:04', '22000', '34.550', 'UP'
'14:28:01', '82800', '34.550', 'UP'
'14:27:58', '6900', '34.540', 'DOWN'
'14:27:55', '20800', '34.550', 'DOWN'
'14:27:52', '1100', '34.560', 'UP'
'14:27:49', '5200', '34.550', 'DOWN'
'14:27:46', '5200', '34.550', 'DOWN'
'14:27:43', '9000', '34.560', 'UP'
'14:27:40', '2600', '34.560', 'UP'
'14:27:37', '4900', '34.560', 'UP'
'14:27:34', '4100', '34.560', 'UP'
'14:27:31', '3600', '34.560', 'UP'
'14:27:28', '6000', '34.560', 'UP'
'14:27:24', '100', '34.560', 'UP'
'14:27:22', '200', '34.560', 'UP'
'14:27:19', '3500', '34.550', 'DOWN'
'14:27:16', '4800', '34.560', 'UP'
'14:27:13', '8500', '34.560', 'UP'
'14:27:09', '900', '34.560', 'UP'
'14:27:07', '2000', '34.550', 'DOWN'
'14:27:04', '4000', '34.550', 'DOWN'
