sh000001 上证指数
sz000001 深证成指
sh000002 A股指数
sh000003 B股指数
sh000004 工业指数
sh000005 商业指数
sh000006 地产指数
sh000007 公用指数
sh000008 综合指数
sh000011 基金指数
sz399006 创业板指
sz399102 创业板综
sz399606 创业板R
sz399635 创业板EW
sz399667 创业板G
sz399668 创业板V
sz399673 创业板50
sz399306 深证etf
sz399380 国证etf

150152 创业板A
150153 创业板B
159915 创业板
159948 创业板EF
159949 创业板50
159955 创业板E
159956 创业板F
159957 创业板HX
159958 创业板ET

159901 深100etf
159903 深成etf
159911 民营etf
159912 深300etf
159919 300etf
159920 恒生etf
159922 500etf
159923 100etf
159926 国债etf
159928 消费etf
159929 医药etf
159930 能源etf
159931 金融etf
159932 500深etf
159933 金地etf
159934 黄金etf
159941 纳指etf
159943 深证etf
159952 创业etf
159953 工业etf
159954 H股etf
159959 央企etf
510010 治理etf
510020 超大etf
510030 价值etf
510050 50etf
510060 央企etf
510070 民企etf
510090 责任etf
510110 周期etf
510120 非周etf
510130 中盘etf
510150 消费etf
510160 小康etf
510170 商品etf
510180 180etf
510190 龙头etf
510210 综指etf
510220 中小etf
510230 金融etf
510260 新兴etf
510270 国企etf
510280 成长etf
510290 380etf
510300 300etf
510310 HS300etf
510410 资源etf
510420 180EWetf
510500 500etf
510580 ZZ500etf
510600 沪50etf
510710 上50etf
510880 红利etf
510900 H股etf
511010 国债etf
511220 城投etf
511600 货币etf
512000 券商etf
512010 医药etf
512070 非银etf
512100 1000etf
512150 A50etf
512170 医疗etf
512510 etf500
512520 MSCIetf
512580 环保etf
512660 军工etf
512670 国防etf
512690 酒etf
512800 银行etf
512880 证券etf
512910 100etf
512930 AIetf
512960 央调etf
512980 传媒etf
513000 225etf
513100 纳指etf
513520 日经etf
513600 恒指etf
513800 东证etf
515000 科技etf
515880 通信etf
518880 黄金etf

