symbol,name,mktcap,nmc,turnoverratio
SH600000,浦发银行,31142557.301217,29818093.496839,0.14167
SH600004,白云机场,3273665.053148,3273665.053148,0.64193
SH600006,东风汽车,824000,824000,0.52478
SH600007,中国国贸,1416239.242804,1416239.242804,0.86856
SH600008,首创股份,1751118.047756,1751118.047756,0.27739
SH600009,上海机场,13781606.820096,7820543.191344,0.9583
SH600010,包钢股份,5059938.623928,3516170.486157,1.76191
SH600011,华能国际,6703085.864293,4696022.135413,0.24482
SH600012,皖通高速,869111.64,610774.4,0.18969
SH600015,XD华夏银,9432368.301579,7860306.918289,0.22854
SH600016,民生银行,24824631.290634,20107023.861771,0.25775
SH600017,日照港,778140.433664,778140.433664,0.42534
SH600018,上港集团,9848811.72625,9848811.72625,0.18526
SH600019,宝钢股份,10578861.859375,10524091.746875,0.3818
SH600020,中原高速,820290.71868,820290.71868,0.55738
SH600021,上海电力,1934084.341583,1734615.019395,0.24769
SH600022,山东钢铁,1477784.19816,1477784.19816,1.29622
SH600023,浙能电力,4828244.94574,4828244.94574,0.08662
SH600025,XD华能水,6318000,3133728,0.33594
SH600026,中远海能,3233867.789915,1857766.312619,1.95756
SH600027,华电国际,3432315.875244,2434518.582444,0.462
SH600028,中国石化,48549555.068046,38318666.189446,0.10057
SH600029,南方航空,7971237.2454,4217990.62412,0.48993
SH600030,中信证券,30830360.829165,23407968.1545,2.82244
SH600031,三一重工,16196223.36192,16186368.85248,0.87895
SH600033,福建高速,735499.2,735499.2,0.11749
SH600035,楚天高速,512956.978263,489918.559305,0.41997
SH600036,招商银行,85394397.204986,69849605.836594,0.32939
SH600037,XD歌华有,2064006.601972,2064006.601972,4.21376
SH600038,中直股份,2406833.431428,2406833.431428,0.67399
SH600039,四川路桥,1474719.55298,1375914.98435,0.34239
SH600048,保利地产,17373975.035872,17373975.035872,0.756
SH600050,中国联通,15264549.782004,10577956.11114,0.52899
SH600051,宁波联合,256786.88,256786.88,2.01676
SH600052,浙江广厦,317331.229488,317331.229488,3.08548
SH600053,九鼎投资,1157120.3952,1157120.3952,1.07054
SH600054,黄山旅游,601738.038,423472.5,0.94717
SH600055,XD万东医,870714.08039,870714.08039,3.41315
SH600056,中国医药,1514044.001678,1513509.316566,1.468
SH600057,厦门象屿,1240536.098875,1240536.098875,0.8231
SH600058,五矿发展,661368.908687,661368.908687,0.25618
SH600059,古越龙山,734139.94182,734139.94182,1.33446
SH600060,海信视像,1609431.90306,1609431.90306,0.96319
SH600061,XD国投资,5123281.229124,5058684.294312,0.58375
SH600062,华润双鹤,1355165.78529,1355165.78529,0.77789
SH600063,皖维高新,643248.827128,643248.827128,0.61121
SH600064,南京高科,1177866.914264,1177866.914264,0.63411
SH600066,宇通客车,2608020.404694,2608020.404694,0.6718
SH600067,冠城大通,523730.864475,523730.864475,0.19558
SH600068,葛洲坝,2772076.002024,2772076.002024,0.48584
SH600069,*ST银鸽,149392.713648,149392.713648,0
SH600070,浙江富润,556394.561788,556394.561788,2.35993
SH600071,凤凰光学,267213.620661,225361.360744,1.21334
SH600072,中船科技,809138.621417,809138.621417,0.62621
SH600073,上海梅林,890842.9984,890842.9984,2.6213
SH600075,新疆天业,649949.858764,464865.684256,0.60091
SH600076,康欣新材,348547.011473,348547.011473,0.48113
SH600077,宋都股份,377914.495932,377914.495932,0.26157
SH600078,澄星股份,312071.817531,312071.817531,1.37972
SH600079,人福医药,3443823.744288,3271708.813728,1.11205
SH600080,ST金花,187381.68307,153258.527744,1.47337
SH600081,东风科技,328297.32,328297.32,0.92805
SH600082,海泰发展,222909.95997,218829.97479,0.68023
SH600083,*ST博信,77970,77289.737514,2.82083
SH600084,ST中葡,266323.25871,266323.25871,0.2605
SH600085,同仁堂,3619310.021418,3619310.021418,0.44436
SH600086,东方金钰,183600,143730.922176,3.97499
SH600088,中视传媒,508268.7792,508268.7792,0.80383
SH600089,特变电工,2566590.137199,2566590.137199,0.64222
SH600090,同济堂,443416.18706,443416.18706,1.22556
SH600091,ST明科,160530.396308,160530.396308,0.27216
SH600093,易见股份,1299794.205,1299794.205,0.80643
SH600094,大名城,1495096.334428,1375069.397048,0.88003
SH600095,哈高科,2742901.13982,384745.696725,10.00737
SH600096,云天化,683910.898364,631619.227964,0.40969
SH600097,开创国际,225275.682665,211565.285855,0.38814
SH600098,广州发展,1502134.303458,1502134.303458,0.08192
SH600099,林海股份,141989.76,141989.76,0.72786
SH600100,同方股份,2190321.324789,2190321.324789,0.44481
SH600101,明星电力,253281.03467,253281.03467,0.39871
SH600103,青山纸业,447328.654558,447328.654558,0.40883
