symbol,name,mktcap,nmc,turnoverratio
SZ300059,东方财富,14626595.65059,11879365.42254,7.69013
SZ000063,中兴通讯,19775619.180768,14900523.813642,5.29512
SH600030,中信证券,30830360.829165,23407968.1545,2.82244
SZ000858,五 粮 液,64267783.738785,62846364.676176,1.01963
SH600519,贵州茅台,180872384.0352,180872384.0352,0.31013
SH600745,闻泰科技,13057899.597453,7403123.617779,6.87416
SZ000725,京东方Ａ,15972465.032217,15541997.275926,3.12614
SZ002425,凯撒文化,1344305.801664,1343018.616128,34.80034
SH601318,中国平安,134213532.43222,79533422.744316,0.5871
SH600918,中泰证券,9825762.31596,982576.23216,46.20713
SH601066,中信建投,28345150.077266,3204238.810795,13.18185
SZ300750,宁德时代,36616017.6102,19950959.98749,2.08045
SZ002456,欧菲光,4686151.686175,4639328.907712,7.89212
SZ002400,省广集团,1868857.401216,1795340.79576,20.19571
SZ002475,立讯精密,31846452.1476,31838142.1404,1.03852
SZ000651,格力电器,35396560.486152,35128244.937652,0.92826
SH600887,伊利股份,18143067.517503,17593479.654267,1.80726
SH600276,恒瑞医药,49342164.670618,49239771.189458,0.63161
SH601162,天风证券,4246221.15736,2445111.720506,11.92086
SH600859,王府井,2945093.8279,2157940.404662,13.08957
SZ002603,以岭药业,3819395.510099,3131709.614561,8.77193
SH603986,兆易创新,10653766.15476,8974650.04899,3.05843
SZ300760,迈瑞医疗,35783872.41471,14692017.06084,1.85208
SZ002241,歌尔股份,8631976.50168,7237587.3899,3.70876
SZ002385,大北农,3792577.86348,2516352.892936,10.54389
SZ002030,达安基因,2331474.72066,2276255.477688,11.4376
SH688505,N复旦,3859100,336920.2425,75.77892
SH601688,华泰证券,17091331.95,13854368.93456,1.81281
SZ002714,牧原股份,28082521.263471,17717641.86081,1.41374
SZ000100,TCL科技,8319989.812185,7786984.308345,3.13687
SZ300433,蓝思科技,10674692.664295,10638919.178345,2.22248
SH601990,南京证券,4852569.227284,3031713.896683,7.76473
SH688126,沪硅产业,7408536.62,1343612.038313,17.25978
SH600703,三安光电,9829004.07648,9829004.07648,2.3582
SZ002074,国轩高科,3314650.271355,2962325.6131,7.80231
SH600036,招商银行,85394397.204986,69849605.836594,0.32939
SZ300033,同花顺,6733440,3367817.41545,6.69029
SZ002460,赣锋锂业,7045890.8,4367197.53705,5.1114
SH603799,华友钴业,4464615.089712,4219762.794552,5.2838
SH600198,大唐电信,1323162.708,1320682.1025,16.85416
SH603259,药明康德,20614644.961274,12602379.256012,1.72213
SZ300014,亿纬锂能,8061062.3979,7783335.22212,2.68807
SZ000002,万 科Ａ,30148015.061595,25210866.261585,0.82084
SZ300142,沃森生物,8351357.697088,8030360.256968,2.56795
SZ300058,蓝色光标,2075034.515722,1933324.80229,10.56511
SH600584,长电科技,4571398.23086,3448044.419664,5.86481
SZ300207,欣旺达,2884070.738378,2547017.721246,7.83423
SZ000661,长春高新,15711241.6578,13199950.6248,1.50711
SZ000001,平安银行,24839575.29344,24839363.4304,0.79333
SZ000333,美的集团,41849356.449509,40889254.466897,0.47402
SH603501,韦尔股份,17081545.10844,3093176.0266,6.2128
SH600511,XD国药股,2910872.566284,2134810.503792,8.98648
SH600827,百联股份,2890352.34954,2599208.8704,7.27103
SZ002635,安洁科技,1562834.2608,891893.82144,21.01873
SH600585,海螺水泥,28934192.08134,21838376.08134,0.85754
SZ002600,领益智造,7352892.6856,1997524.289376,9.17664
SZ300346,南大光电,1697955.496185,1552054.12518,11.73943
SH600109,国金证券,3384258.06789,3384258.06789,5.3414
SZ002185,华天科技,3688045.079804,3686865.450788,4.89433
SZ300088,长信科技,2664632.100312,2630659.818696,6.74779
SH603160,汇顶科技,9532449.863076,9381812.096258,1.89101
SZ002415,海康威视,28203242.280528,24414919.313958,0.69854
SH601888,中国国旅,25540332.591064,25540332.591064,0.6577
SZ002273,水晶光电,2059110.969412,1995898.17313,8.36992
SH600621,华鑫股份,2085728.008072,2085728.008072,7.88879
SH601696,中银证券,6500520,650520,25.15816
SH601012,隆基股份,12805996.890015,12790831.492915,1.26239
SZ000568,泸州老窖,13459610.501964,13416907.555755,1.19954
SH600837,海通证券,14101084.2,9920952.82668,1.59377
SH600570,恒生电子,9887539.44038,9887539.44038,1.59278
SZ002384,东山精密,4681552.197978,3562850.653068,4.39354
SZ002555,三七互娱,8698252.488246,5425449.47514,2.88471
SZ300347,泰格医药,6752594.5055,4858613.4878,3.19922
SZ002351,漫步者,1915223.715,984197.738202,15.48765
SZ002466,天齐锂业,3706042.351947,3696868.128213,4.11153
SH600418,江淮汽车,1830832.817139,1830832.817139,8.09064
SZ002594,比亚迪,18275828.985645,7647752.768271,1.9325
SZ002129,中环股份,5389277.775255,5192109.75249,2.81121
SZ300782,卓胜微,6240000,3667254.1152,3.96561
SZ002007,华兰生物,8758784.651526,7523039.230987,1.92196
SZ300015,爱尔眼科,18645725.77485,15360858.5389,0.92931
SH600031,三一重工,16196223.36192,16186368.85248,0.87895
SH601236,红塔证券,7819088.412192,783328,18.13191
SZ000636,风华高科,2612290.217898,2612290.217898,5.41469
SZ002049,紫光国微,3950991.789648,3947179.123845,3.54594
SH601166,兴业银行,32760898.814327,30933250.118927,0.45092
SZ002131,利欧股份,2823508.15769,2419108.66131,5.7512
SZ002075,沙钢股份,3135822.688012,3135821.195962,4.41505
SZ000977,浪潮信息,5892735.914031,5892730.994964,2.28588
SH600895,张江高科,2992068.2106,2992068.2106,4.48162
SZ002371,北方华创,7724316.775573,7144004.054024,1.85843
SZ002989,中天精装,943979,235994.75,55.70573
SH600048,保利地产,17373975.035872,17373975.035872,0.756
SH601788,光大证券,5560609.892634,4711478.799834,2.76596
SH600812,华北制药,1973273.72209,1973273.72209,6.36979
SZ300122,智飞生物,15342400,8397749.180725,1.46622
SH601108,财通证券,3768450,2527027.2783,4.84045
SZ300136,信维通信,4702747.03493,3940269.872385,3.05883
SZ002120,韵达股份,7540942.352148,7269472.689282,1.64726
SH600804,鹏博士,1216102.759851,1216071.822291,9.80333
SZ300676,华大基因,5502175.2,3362376.775608,3.5073
SH603019,中科曙光,5143101.06685,5143101.06685,2.28299
SZ002044,美年健康,5041018.372564,4413938.043054,2.60807
SH600282,南钢股份,1614340.857948,1614340.857948,7.12962
SZ300494,盛天网络,552480,368320.41436,30.96357
SZ300383,光环新网,3924204.819103,3819739.022482,2.96473
SZ000793,华闻集团,894765.964736,870311.46944,12.96574
SZ002142,宁波银行,15392537.724732,14400514.459086,0.7816
SZ300485,赛升药业,1090341.832,559215.1762,20.02258
SZ000876,新 希 望,12268603.67619,12256145.26779,0.91107
SZ000021,深科技,3433919.353242,3429409.367376,3.21994
SZ000564,供销大集,2901781.035573,968847.734673,11.34653
SH600415,小商品城,3037313.510208,3037313.510208,3.60339
SZ000936,华西股份,1187257.26858,1186402.01626,9.22222
SZ002050,三花智控,7611536.527582,6623341.384023,1.6513
SH600196,复星医药,8621590.70538,6764862.86338,1.61016
SH601881,中国银河,10644121.69485,6768587.8302,1.59093
SZ002230,科大讯飞,7738710.540757,6738111.549533,1.59205
SH600185,格力地产,2382621.69308,2382621.69308,4.47547
SZ002581,未名医药,1752917.452002,1064902.114777,10.00437
SZ002624,完美世界,6647365.3436,6133994.8651,1.73544
SZ300115,长盈精密,1979855.930112,1970521.031552,5.39771
SZ002236,大华股份,5688204.99022,3543843.520576,2.99597
SZ002402,和而泰,1458895.505088,1273866.239184,8.32099
