==============================================================
List on u20hp02.pve3700
--------------------------------------------------------------
symbol	name	mktcap	nmc	turnover	located0624	activity
SZ002206	海 利 得	412160.6534	323669.1734	0.42825	HP02	138611.3235
SZ002454	松芝股份	296690.5152	294901.3124	0.64118	HP02	189084.8235
SZ002265	西仪股份	238287.4967	228312.693	0.83066	HP02	189650.2216
SZ002455	百川股份	249699.9596	190275.2732	1.0426	HP02	198380.9998
SZ002309	中利集团	491687.9064	392556.5005	0.5892	HP02	231294.2901
SZ002284	亚太股份	363643.3012	338212.2127	0.69177	HP02	233965.0624
SZ002073	软控股份	378264.603	378242.49	0.64556	HP02	244178.2218
SZ002149	西部材料	290557.9491	290506.7241	0.92511	HP02	268750.6756
SZ002282	博深股份	364198.4412	259918.2884	1.03513	HP02	269049.2179
SZ002348	高乐股份	248166.4	194689.7186	1.47648	HP02	287455.4757
SZ002090	金智科技	340795.341	336691.66	0.91787	HP02	309039.174
SZ002406	远东传动	364656.6287	270212.7844	1.3476	HP02	364138.7483
SZ002218	拓日新能	420356.3154	413344.7334	0.90404	HP02	373680.1727
SZ002453	华软科技	279365.7	279365.7	1.39344	HP02	389279.341
SZ002232	启明信息	384035.5477	378536.2309	1.05683	HP02	400048.4449
SZ002141	贤丰控股	360820.773	202441.344	2.02136	HP02	409206.8351
SZ002283	天润工业	493868.6424	418475.0673	1.05205	HP02	440256.6945
SZ002213	特 尔 佳	350818	350814.1683	1.26163	HP02	442597.6791
SZ002201	九鼎新材	449828.4869	448702.5934	1.45615	HP02	653378.2813
SZ002105	信隆健康	194568	194568	3.41101	HP02	663673.3937
SZ002358	森源电气	485333.142	475241.6047	1.57644	HP02	749189.8753
SZ002270	华明装备	422136.9563	407070.51	2.26994	HP02	924025.6334
SZ002139	拓邦股份	561356.8544	452617.3918	2.12932	HP02	963767.2646
SZ002182	云海金属	570144.6785	431578.0526	2.32071	HP02	1001567.503
SZ002158	汉钟精机	607792.6964	601802.7808	1.76357	HP02	1061321.33
SZ002243	通产丽星	1590733.944	479542.9282	2.30198	HP02	1103898.23
SZ002190	成飞集成	807858.4804	777364.2363	1.47377	HP02	1145656.09
SZ002446	盛路通信	645980.1348	486793.011	2.47302	HP02	1203848.852
SZ002254	泰和新材	788586.1776	788577.6815	1.55257	HP02	1224322.051
SZ002459	晶澳科技	2064635.235	591310.2624	2.21964	HP02	1312495.911
SZ002389	航天彩虹	1215690.55	766728.4313	1.80385	HP02	1383063.081
SZ002258	利尔化学	907696.7688	903820.0835	1.54776	HP02	1398896.572
SZ002428	云南锗业	726269.44	716476.9656	2.2688	HP02	1625542.94
SZ002004	华邦健康	1043417.414	953240.4616	1.74093	HP02	1659524.917
SZ002104	恒宝股份	585413.9374	493953.3724	3.91904	HP02	1935823.024
SZ002343	慈文传媒	450727.252	448520.4114	5.21833	HP02	2340527.518
SZ002242	九阳股份	2715011.091	2701003.8	0.91602	HP02	2474173.501
SZ002063	远光软件	1071955.727	986317.3068	2.54107	HP02	2506301.319
SZ002407	多氟多	752312.5291	637349.8296	4.16866	HP02	2656894.741
SZ002125	湘潭电化	606820.3713	533053.4169	5.314	HP02	2832645.857
SZ002449	国星光电	716815.0389	704383.38	4.02279	HP02	2833586.417
SZ002197	证通电子	521338.8314	440290.417	6.44843	HP02	2839181.934
SZ002056	横店东磁	1878634.8	1856641.005	1.57906	HP02	2931747.546
SZ002106	莱宝高科	859684.0829	857293.3133	3.44382	HP02	2952363.858
SZ002222	福晶科技	592087.5	585751.1236	5.18641	HP02	3037945.485
SZ002179	中航光电	4071067.841	3937954.851	0.8185	HP02	3223216.046
SZ002022	科华生物	895528.3978	893089.5268	4.439	HP02	3964424.41
SZ002414	高德红外	4177021.952	3273658.933	1.25571	HP02	4110766.259
SZ002436	兴森科技	1800368.08	1527696.677	2.69123	HP02	4111383.127
SZ002410	广联达	7304363.15	5837633.549	0.78703	HP02	4594392.732
SZ002138	顺络电子	1980317.877	1715945.444	2.98055	HP02	5114461.193
SZ002151	北斗星通	1648597.716	1234460.325	4.22616	HP02	5217026.846
SZ002024	苏宁易购	8425585.888	7036546.292	0.81204	HP02	5713957.051
SZ002080	中材科技	2594379.061	2594379.061	2.23084	HP02	5787644.584
SZ002405	四维图新	3118885.44	3037025.802	2.30645	HP02	7004748.162
SZ002001	新 和 成	5930307.948	5855288.562	1.21794	HP02	7131390.151
SZ002008	大族激光	3646178.525	3395018.811	2.22544	HP02	7555410.664
SZ002223	鱼跃医疗	3432481.005	2968113.732	2.69483	HP02	7998561.928
SZ002123	梦网集团	1586635.18	1292836.299	7.07579	HP02	9147838.157
SZ002352	顺丰控股	24779306.85	24407277.17	0.41957	HP02	10240561.28
SZ002402	和而泰	1458895.505	1273866.239	8.32099	HP02	10599828.24
SZ002131	利欧股份	2823508.158	2419108.661	5.7512	HP02	13912777.73
SZ002007	华兰生物	8758784.652	7523039.231	1.92196	HP02	14458980.48
SZ002273	水晶光电	2059110.969	1995898.173	8.36992	HP02	16705508.04
SZ002415	海康威视	28203242.28	24414919.31	0.69854	HP02	17054797.74
SZ002460	赣锋锂业	7045890.8	4367197.537	5.1114	HP02	22322493.49
SZ002030	达安基因	2331474.721	2276255.478	11.4376	HP02	26034899.65
SZ002456	欧菲光	4686151.686	4639328.908	7.89212	HP02	36614140.46
SZ002829	星网宇达	481065.2973	262758.0946	3.08451		810479.9705
SZ002881	美格智能	430680.125	107680.125	7.95463		856555.5527
SZ002189	中光学	466058.4947	394196.1624	3.36921		1328129.652
SZ002727	一心堂	1910034.504	1065816.984	2.46375		2625906.595
SZ002396	星网锐捷	2021649.444	1943525.932	1.49546		2906465.29
SZ002583	海能达	1361284.753	780216.9894	4.22888		3299444.022
SZ002117	东港股份	616057.3893	615859.5061	5.90163		3634574.937
SZ002301	齐心集团	1223611.505	1067677.693	3.5447		3784597.118
SZ002294	信立泰	2673616.896	2673241.931	1.4209		3798409.459
SZ002565	顺灏股份	533258.9318	531217.1708	7.20775		3828880.563
SZ002572	索菲亚	2057394.436	1437176.53	2.66921		3836125.965
SZ002183	怡 亚 通	1110170.959	1108668.727	3.56802		3955752.192
SZ002291	星期六	1741352.561	1260729.426	3.20397		4039339.259
SZ002439	启明星辰	3623238.503	2771061.656	1.50941		4182668.174

==============================================================
List on tc.domain
--------------------------------------------------------------
symbol	name	mktcap	nmc	turnover	located0624	activity
SZ002194	武汉凡谷	1452776.4	1057718.581	3.9626		4191315.649
SZ002118	紫鑫药业	627572.3147	627532.6022	6.70286		4206263.178
SZ002368	太极股份	1693626.177	1661940.501	2.54405		4228059.731
SZ002745	木林森	1932356.001	1106743.848	3.83861		4248358.002
SZ002240	威华股份	932149.3747	614733.4216	6.9155		4251188.977
SZ002326	永太科技	1084681.643	826869.2774	5.44754		4504403.464
SZ002124	天邦股份	1311539.379	1068094.244	4.23611		4524564.707
SZ002838	道恩股份	1186485.163	978918.2966	4.73588		4636039.583
SZ002489	浙江永强	915985.0678	792095.4498	5.9914		4745760.678
SZ002709	天赐材料	1771162.326	1187452.328	4.04655		4805085.218
SZ002214	大立科技	1086122.665	846137.0776	5.98089		5060652.786
SZ002850	科达利	1308090	809846.897	6.3096		5109809.981
SZ002281	光迅科技	2194937.478	2128463.526	2.44324		5200347.226
SZ002100	天康生物	1615180.903	1615180.903	3.39848		5489159.995
SZ002127	南极电商	5192050.902	4131952.828	1.44538		5972241.978
SZ002299	圣农发展	3308592.402	2914428.659	2.11303		6158275.188
SZ002025	航天电器	1382667	1382340.742	4.49241		6210041.373
SZ002409	雅克科技	2136531.77	1074823.294	5.81936		6254783.683
SZ002467	二六三	964950.8243	826968.466	7.69953		6367268.513
