一、沪深主板汇总（按行业排序） 
1    汽车 一汽轿车、长安汽车、上海汽车、中国重汽
2    石油化工中国石化、中国石油、中海油服、海油工程
3    水泥 海螺水泥、冀东水泥、华新水泥
4    酒类 贵州茅台、泸州老窖、五粮液、张裕A、水井坊
5    啤酒 青岛啤酒、燕京啤酒
6    玻璃 南玻A、福耀玻璃、山东药玻
7    电力能源 国电电力、国投电力、长江电力、华能国际、华电国际、漳泽电力、大唐发电
8    金融 中信证券、平安银行、工商银行、招商银行、浦发银行、中国银行、建设银行
9    有色金属 中金黄金、中国铝业、山东黄金、五矿发展、驰宏锌锗、宝钛股份、宏达股份、厦门钨业、吉恩镍业、中金岭南、云南铜业、江西铜业
10    地产 保利地产、万科A、金地集团、招商地产、泛海建设、华侨城A、金融街、中华企业
11    3G通信中国联通、中兴通讯、大唐电信、亿阳信通、高鸿股份
12    科技类 歌华有线、东方明珠、综艺股份、中信国安、方正科技、清华同方
13    航空 南方航空、中国国航、上海航空
14    环保 龙净环保，菲达环保
15    新能源 天威保变、丰原生化
16    电力设备 东方电机、东方锅炉、特变电工、平高电气、国电南自、华光股份、湘电股份
17    港口运输 上港集团、中集集团、中海海盛、中远航运
18    高速类 宁沪高速、中原高速、赣粤高速、山东高速、福建高速、粤高速、皖通高速
19    机场类 上海机场、深圳机场、白云机场
20    建筑用品 中国玻纤、长江精工、海螺型材
21    水务 首创股份、南海发展、原水股份
22    仓储物流运输 中化国际、铁龙物流、外运发展、中储股份
23    航天军工 中国卫星、哈飞股份、航天信息、火箭股份、西飞国际、成发科技、洪都航空
24    电子类 广电电子、晶源电子、生益科技、法拉电子、华微电子、彩虹股份、深天马A、东信和平
25    软件 中国软件、东软股份、恒生电子、金证股份、宝信软件
26    超市 华联综超、友谊股份、大商股份、上海家化、武汉中百、北京城乡、大连友谊、新华传媒
27    零售 新华百货、广州友谊、王府井、重庆百货、银座股份、益民百货、中兴商业、东百集团、百联股份、武汉中商、西单商场、上海九百
28    材料 星新材料、中材国际
29    酒店旅游 华天酒店、中青旅游、首旅股份、黄山旅游、峨眉山、丽江旅游、锦江股份、桂林旅游、北京旅游、西安旅游
30    奥运 北京城建、中体产业
31    股指期货 高新发展、中大股份、美尔雅
32    乙醇燃料 广东甘化和丰原生化
33    煤炭类 中国神华、大同煤业、兰花科创、兖州煤业、潞安环能、神火股份、西山煤电
34    核能 中核科技
35    特种化工 烟台万华、金发科技、三爱富、华鲁恒升
36    化肥 盐湖钾肥、华鲁恒升、沙隆达A、柳化股份、湖北宜化、昌九生化、沧州大化、鲁西化工、沈阳化工
37    农业股 新希望、北大荒、通威股份、中牧股份、隆平高科、丰乐种业、新赛股份、敦煌种业、新农开发、冠农股份、登海种业
38    太阳能概念 力诺太阳、风帆股份和航天机电
39    风能概念 湘电股份、长城电工和金山股份
40    服装 七匹狼、雅格尔、伟星股份、豫园商城
41    通信光缆类 中电广通、长江通信、浙大网新、特发信息、中创信测、东方通信、夏新电子、波导股份
42    建筑与工程 中铁二局、中材国际、上海建工、中工国际、浦东建设、中色股份、空港股份、安徽水利、隧道股份、腾达建设、新疆城建、路桥建设
43    重工机械 三一重工、中国船舶、江南重工、中联重科、晋西车轴、柳工、振华港机、广船国际、山推股份、沈阳机床
44    钢铁类武钢股份、宝钢股份、鞍钢股份、包钢股份、太钢不锈
45    食品加工 南宁糖业、双汇发展、伊利、维维股份、承德露露、第一食品、安琪酵母、恒顺醋业、上海梅林、赣南果业、华冠科技
46    中药 同仁堂、天士力、云南白药、东阿阿胶、九芝堂、马应龙、吉林敖东、片仔癀、千金药业、江中药业、康缘药业、康恩贝、中汇医药
47    造纸 晨鸣纸业、岳阳纸业、华泰股份
48    家电格力电器、海信电器、美的电器、佛山照明、青岛海尔、四川长虹、苏泊尔

二、中小板龙头股汇总（按股票代码排序） 
SZ002001    和成　国内最大维生素A和维生素E生产商
SZ002003    星股份　世界最大的纽扣生产企业之一
SZ002004    邦制药　国内皮肤病领域龙头企业
SZ002007    兰生物　国内血液制品行业龙头企业
SZ002008    族激光　亚洲最大激光加工设备生产商
SZ002010    化股份　国内纺织印染助剂龙头企业
SZ002022    华生物　国内体外临床诊断行业龙头企业
SZ002024    宁电器　2009年中国零售公司百强之首
SZ002030    安基因　国内核酸诊断试剂领域领先者
SZ002031    轮股份　国内汽车子午线轮胎活络模具龙头企业
SZ002036    科科技　国内最大中高档服装用衬生产商
SZ002041    海种业　国内玉米种子繁育推广一体化龙头企业
SZ002045    州国光　国内音响行业龙头企业
SZ002046    研科技　国内航天特种轴承行业龙头企业
SZ002048    波华翔　国内汽车内饰件龙头企业
SZ002056    店东磁　全球最大的磁体生产企业之一
SZ002063    光软件　国内电力财务软件龙头企业
SZ002071    苏宏宝　国内工具五金行业龙头企业
SZ002073    控股份　国内轮胎橡胶行业软件龙头企业
SZ002080    材科技　国内特种纤维复合材料行业龙头企业
SZ002090    智科技　国内电气自动化设备行业龙头企业
SZ002091    苏国泰　国内锂离子电池电解液行业龙头企业
SZ002094    岛金王　国内最大蜡烛制造商
SZ002098    兴股份　国内拉链行业龙头企业
SZ002101    东鸿图　国内压铸行业龙头企业
SZ002103    博股份　国内纸制品文具行业龙头企业
SZ002104    宝股份　国内智能卡行业龙头企业
SZ002105    隆实业　国内自行车零配件龙头企业
SZ002106    宝高科　国内彩色滤光片行业龙头企业
SZ002111    海广泰　国内航空地面设备行业龙头企业
SZ002117    港股份　国内规模最大商业票据印刷企业
SZ002119    强电子　国内最大塑封引线框架生产基地
SZ002120    海股份　世界第四大塑料打火机制造商
SZ002121    陆电子　国内用电采集系统领域龙头企业
SZ002123    信股份　国内最大大功率电力电子装备生产商
SZ002125    潭电化　国内最大电解二氧化锰生产商
SZ002126    轮股份　国内最大机油冷却器生产商
SZ002130    尔核材　国内热缩材料行业龙头企业
SZ002131    欧股份　国内最大的微型小型水泵制造商
SZ002138    络电子　国内最大片式压敏电阻生产商
SZ002139    邦股份　国内最大微波炉控制板生产商
SZ002140    华科技　国内煤化工细分行业龙头企业
SZ002141    胜超微　国内最大微细漆包线生产商
SZ002144    达高科　国内汽车顶棚面料龙头企业
